idx|tags|query|parameter
1||SELECT * FROM quote WHERE time < $1 + INTERVAL '8 hours'|datadate
2||SELECT * FROM trade WHERE seq=0|
3||SELECT * FROM trade WHERE 0 < seq AND 0 < price AND time BETWEEN '-infinity'::TIMESTAMP AND 'infinity'::TIMESTAMP AND size < 2147483647|
4||SELECT * FROM trade WHERE time BETWEEN $1 + INTERVAL '10 hours' AND $1 + INTERVAL '10 hours 10 seconds'|datadate
5||SELECT * FROM quote WHERE sym = $1 AND time BETWEEN $2 + INTERVAL '8 hours 30 minutes' AND $2 + INTERVAL '16 hours 30 minutes'|anInfreqInstr,datadate
6||SELECT * FROM quote WHERE sym IN $1 AND time BETWEEN $2 + INTERVAL '8 hours 30 minutes' AND $2 + INTERVAL '8 hours 35 minutes'|hundredInstrs,datadate
7||SELECT sym, time, price, size, stop, cond, ex FROM trade WHERE source = 'N'|
8||SELECT time, (bid + ask) / 2 AS mid FROM quote WHERE sym = $1|mostFreqInstr
9||SELECT time, (bid + ask) / 2 AS mid FROM (SELECT * FROM quote WHERE sym = $1)|mostFreqInstr
10||SELECT time, (bid + ask) / 2 AS mid FROM quote WHERE sym = $1 ORDER BY mid DESC, rowid ASC|mostFreqInstr
11||SELECT sym, time, bid, ask, bsize, asize, cond, ex FROM quote WHERE sym = $1|aFreqInstr
12||SELECT sym, time, bid, ask, bsize, asize, cond, ex FROM quote WHERE sym IN $1 AND 2000<bsize+asize|fivehundredInfreqInstrs
13||SELECT AVG((bsize * bid + asize * ask) / (bsize + asize)) AS avgLiqWMid FROM quote WHERE sym = $1|anInfreqInstr
14||SELECT * RENAME bucket AS minute FROM (SELECT time_bucket(INTERVAL '10 minutes', time)::TIME AS bucket, ex, AVG((bsize * bid + asize * ask) / (bsize + asize)) AS avgLiqWMid FROM quote WHERE sym = $1 GROUP BY bucket, ex ORDER by bucket, ex)|anInfreqInstr
15||WITH filtered AS (SELECT time_bucket(INTERVAL '10 minutes', time)::TIME AS minute, ex, (bsize * bid + asize * ask) / (bsize + asize) AS liqWMid FROM quote WHERE sym = $1) PIVOT filtered ON ex USING AVG(liqWMid) AS avgLiqWMid GROUP BY time|anInfreqInstr
16||WITH filtered AS (SELECT time_bucket(INTERVAL '10 minutes', time)::TIME AS minute, sym, (bsize * bid + asize * ask) / (bsize + asize) AS liqWMid FROM quote WHERE sym IN $1) PIVOT filtered ON sym USING AVG(liqWMid) AS avgLiqWMid GROUP BY time|fivehundredInfreqInstrs
17||WITH filtered AS (SELECT time_bucket(INTERVAL '10 minutes', time)::TIME AS minute, sym, (bsize * bid + asize * ask) / (bsize + asize) AS liqWMid FROM quote WHERE sym IN $1) SELECT time, LAST_VALUE(COLUMNS(* EXCLUDE time) IGNORE NULLS) OVER (ORDER BY time ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) FROM (PIVOT filtered ON sym USING AVG(liqWMid) AS avgLiqWMid GROUP BY time) ORDER BY time|fivehundredInfreqInstrs
18||SELECT * RENAME bucket AS minute FROM (SELECT time_bucket(INTERVAL '10 minutes', time)::TIME AS bucket, AVG(ask - bid) AS avgSpread FROM quote WHERE sym = $1 GROUP BY bucket) ORDER BY bucket|aFreqInstr
19||SELECT * RENAME bucket AS minute FROM (SELECT sym, time_bucket(INTERVAL '10 minutes', time)::TIME AS bucket, AVG(ask - bid) AS avgSpread FROM quote WHERE sym IN $1 GROUP BY sym, bucket ORDER by sym::VARCHAR, bucket)|hundredInstrs
20||SELECT weighted_avg(ask - bid, asize + bsize) AS avgWeightedSpread FROM quote WHERE sym=$1|anInfreqInstr
21||SELECT weighted_avg(ask - bid, asize + bsize) AS avgWeightedSpread, STDDEV_POP(ask - bid) AS devSpread, MAX(ask - bid) AS maxSpread, MIN(ask - bid) AS minSpread FROM quote WHERE time::TIME BETWEEN '08:30' AND '08:35'|
22||SELECT COALESCE(e.name, '') AS ex, weighted_avg(ask - bid, asize + bsize) AS avgWeightedSpread, STDDEV_POP(ask - bid) AS devSpread, MAX(ask - bid) AS maxSpread, MIN(ask - bid) AS minSpread FROM quote q LEFT JOIN exnames e ON q.ex = e.ex WHERE q.sym = $1 GROUP BY e.name ORDER BY ex|mostFreqInstr
23||SELECT exname AS ex, weighted_avg(spread, sizes) AS avgWeightedSpread, STDDEV_POP(spread) AS devSpread, MAX(spread) AS maxSpread, MIN(spread) AS minSpread FROM (SELECT COALESCE(e.name, '') AS exname, ask - bid AS spread, asize + bsize AS sizes FROM quote q LEFT JOIN exnames e ON q.ex = e.ex WHERE q.sym = $1) GROUP BY exname ORDER BY ex|mostFreqInstr
24||SELECT q.sym, COALESCE(e.name, '') AS ex, weighted_avg(ask - bid, asize + bsize) AS avgWeightedSpread, STDDEV_POP(ask - bid) AS devSpread, MAX(ask - bid) AS maxSpread, MIN(ask - bid) AS minSpread FROM quote q LEFT JOIN exnames e ON q.ex = e.ex WHERE q.sym IN $1 GROUP BY q.sym, e.name ORDER BY q.sym::VARCHAR, ex|hundredInstrs
25||SELECT COALESCE(e.name, '') AS ex, weighted_avg(ask - bid, asize + bsize) AS avgWeightedSpread, STDDEV_POP(ask - bid) AS devSpread, MAX(ask - bid) AS maxSpread, MIN(ask - bid) AS minSpread FROM quote q LEFT JOIN exnames e ON q.ex = e.ex WHERE shortSaleRestrictionIndicator = '0' GROUP BY e.name ORDER BY ex|
26||SELECT sym, ex FROM trade WHERE size>700000 GROUP BY sym, ex ORDER BY MIN(rowid)|
27||SELECT sym, weighted_avg(bid, bsize) AS weightedBidPrice, weighted_avg(ask, asize) AS weightedOfferPrice FROM quote WHERE sym IN $1 GROUP BY sym ORDER BY sym::VARCHAR|twentyInstrs
28||SELECT time, AVG(price) OVER (ORDER BY time ROWS BETWEEN 19 PRECEDING AND CURRENT ROW) AS price FROM trade WHERE sym = $1|mostFreqInstr
29||SELECT sym, time, AVG((bsize * bid + asize * ask) / (bsize + asize)) OVER (PARTITION BY sym ORDER BY time ROWS BETWEEN 4 PRECEDING AND CURRENT ROW) AS movingLiqWMid, AVG(asize + bsize) OVER (PARTITION BY sym ORDER BY time ROWS BETWEEN 4 PRECEDING AND CURRENT ROW) AS movingsize FROM quote WHERE sym IN $1 ORDER BY sym::VARCHAR, time|twentyInstrs
30||SELECT time, SUM(size) OVER (ORDER BY time ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS size FROM trade WHERE sym = $1|aFreqInstr
31||SELECT time, SUM(size) OVER (ORDER BY time ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS size FROM trade WHERE ex = 'L'|
32||SELECT sym, time, price, size, SUM(price * size) OVER (PARTITION BY sym ORDER BY time ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) / SUM(size) OVER (PARTITION BY sym ORDER BY time ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS movingvwap FROM trade WHERE time::TIME BETWEEN '08:00' AND '08:15' ORDER BY time|
33||SELECT time, SUM(size) OVER (ORDER BY time ROWS BETWEEN UNBOUNDED PRECEDING AND CURRENT ROW) AS size FROM trade WHERE ex = 'T'|
34||SELECT * EXCLUDE (max_size, rowid) FROM (SELECT *, rowid, MAX(size) OVER (PARTITION BY ex) AS max_size FROM trade) WHERE size = max_size ORDER BY rowid|
