idx|tags|description|sortby|comment
1|simple,rawcolumn,timefilter,originalorder|select all data from quote before 8am|time,idx|
2|simple,emptyresult,rawcolumn|query with a single filter that does not filter out anything|time,idx|
3|simple,manydummyfilters,rawcolumn,timefilter|query contains many filters that do not filter out anything|time,idx|
4|simple,rawcolumn,timefilter|filter trades within a 10-second window at 10:00am|time,idx|
5|simple,singleinstrument,rawcolumn,timefilter|filter quotes for an infrequent instrument during regular trading hours (8:30–16:30)|time,idx|
6|simple,fewinstruments,rawcolumn,timefilter|filter quotes for 100 instruments in the first 5 minutes of trading (8:30–8:35)|time,idx|
7|simple,rawcolumn|filter trades from source "N" and select key columns|time,idx|
8|simple,singleinstrument|calculate mid quote for the most frequent instrument (provided as a parameter)|time,idx|
9|simple,singleinstrument,unnecessarycolumnfetch|calculate mid quote for the most frequent instrument (provided as a parameter), fetching all columns first|time,idx|We fetch columns that we immediately throw away
10|simple,singleinstrument,sort|calculate and sort mid quotes descending for the most frequent instrument (provided as a parameter). Sorting must be stable, i.e. keep time ordering for the same values|mid,time,idx|
11|simple,singleinstrument,rawcolumn|select key quote columns for a frequent instrument|time,idx|
12|simple,fewinstruments,rawcolumn|select key quote columns for 500 infrequent instruments where combined bid+ask size exceeds 2000|time,idx|
13|simple,singleinstrument|calculate overall average liquidity-weighted mid quote for an infrequent instrument||
14|simple,singleinstrument,groupby|calculate 10-minute average liquidity-weighted mid quote by exchange for an infrequent instrument|minute,ex|
15|advanced,singleinstrument,pivot,groupby|pivot 10-minute average liquidity-weighted mid quote by exchange for an infrequent instrument|minute|
16|advanced,fewinstruments,pivot,groupby|pivot 10-minute average liquidity-weighted mid quote by symbol for 500 infrequent instruments|minute|
17|advanced,fewinstruments,pivot,fillforward,groupby|pivot 10-minute average liquidity-weighted mid quote by symbol for 500 infrequent instruments with forward fill for missing values|minute|
18|simple,singleinstrument,groupby|calculate average bid-ask spread in 10-minute buckets for a frequent instrument|minute|
19|simple,fewinstruments,groupby|calculate average bid-ask spread in 10-minute buckets per instrument for 100 instruments|sym,minute|
20|advanced,singleinstrument|calculate size-weighted average spread for an infrequent instrument||
21|advanced,timefilter|calculate weighted average spread, deviation/max/min of spread for quotes between 8:30 and 8:35||
22|advanced,singleinstrument,groupby|calculate weighted average spread, deviation/max/min of spread by exchange names|ex|
23|advanced,singleinstrument,groupby|calculate weighted average spread, deviation/max/min of spread by exchange names|ex|same as query 13 but measures impact of manual optimization (calculate spread once)
24|advanced,fewinstruments,groupby|calculate weighted average spread and deviation of spread by exchange names and instrument|sym,ex|
25|advanced,groupby|calculate weighted average spread and deviation of spread by exchange names for quotes without short sale restriction on UTP (Short Sale Restriction Indicator is "0")|ex|
26|simple|find unique sym/exchange pairs where trade size exceeds 700,000. Order results as they appear in the input|idx|
27|simple,fewinstruments,groupby|calculate size weighted bid and offer prices by instrument for 20 instruments|sym|
28|advanced,singleinstrument|calculate 20-trade rolling average price for the most frequent instrument (provided as a parameter)|time,idx|
29|advanced,fewinstruments,groupby|calculate rolling average liquidity-weighted mid quote and combined size (window=5) by instrument for 20 instruments|sym,time,idx|
30|advanced,singleinstrument|select cummulative trade sizes for a given instrument|time,idx|
31|advanced|calculate cumulative trade size for illiquid exchange "L"|time,idx|
32|complex,timefilter,groupby|calculate moving volume weighted average price by instrument within a time range|time,idx|
33|advanced|calculate cumulative trade size for liquid exchange "T"|time,idx|
34|advanced,rawcolumn,groupby|select largest trades on all exchanges|time,idx|
